"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5911",43870,"07/01/16 00:00:00",290000019,2,0,136670,0,46119,0,90,403,0,44560,0,0,0,0,12,0,"","08/24/16 07:55:52"
"5912",43871,"07/01/16 00:00:00",290000021,22,0,134200,3209,1656141,2909,7378,20994,20813,471394,0,121923,0,0,0,0,"Reinjected vol does not include volumes of PBU Fuel Gas reflected on line 17. Transferred From = PBU 121,923 mcf fuel gas. Line 18 Transferred to is volume transferred to CPF2.  Line 6 is gas sold to KTC.","08/24/16 08:00:10"
"5913",43872,"07/01/16 00:00:00",290000022,23,0,134200,8919,2644556,0,7022,15718,0,645030,0,0,0,0,0,0,"Reinjected vol does not include volumes of PBU NGLS acquired for LSEOR reflected on line 17. Transferred from = PBU LSEOR NGLs 0 and CPF1 transferred 0. Line 6 is gas sold to KTC.","01/08/20 08:54:13"
"5914",43873,"07/01/16 00:00:00",1030000017,20,0,134200,22013,1149335,0,7420,8638,0,282252,0,0,0,0,0,0,"Gas sold to ATC =17,820  
Gas gifted to Village of Nuiqsut = 4,193","08/24/16 08:00:10"
"5915",43874,"07/01/16 00:00:00",290000023,24,0,134200,5489,0,0,1991,17013,0,304314,0,620151,-237209,0,0,0,"Reinjected vol does not include volumes of Oooguruk Gas production reflected on line 17.  Line 6 is Oooguruk sales 0 Nikaitchuq sales 5,057, and Air Force Power generation sale 432. Line 18 is Oooguruk returned gas.","08/24/16 08:00:10"
"5916",43875,"07/01/16 00:00:00",2830000004,26,0,134300,324778,0,0,283,2085,0,69739,2065,0,0,0,0,0,"13. Harvest Pipeline OBA Imbalance 2065 Meter difference 0","08/24/16 08:00:10"
"5917",43876,"07/01/16 00:00:00",890000001,59,0,118575,0,510310,50113,13199,204,0,38860,0,0,0,0,0,0,"text","08/24/16 12:01:16"
"5918",43877,"07/01/16 00:00:00",1030000001,24,0,113850,0,119273,1693,0,0,0,87666,308387,237209,-620151,0,0,0,"","08/24/16 09:03:56"
"5919",43878,"07/01/16 00:00:00",1330000002,35,0,124250,219528,164257,887,655,791,0,64465,0,164467,-219143,0,284916,0,"Lines 15, 16, 17 revised 1/2019, no change to lines 6 through 14, see 10-422 for full remarks.","01/14/19 11:01:30"
"5920",43879,"07/01/16 00:00:00",1330000006,27,0,124250,0,0,0,226,445,0,22872,0,0,-1078,0,5697,0,"","08/24/16 09:04:50"
